iter	Logloss
0	0.6052750025
1	0.5169072674
2	0.4571204071
3	0.4104681651
4	0.3734934757
5	0.3419354401
6	0.3175916824
7	0.2981321914
8	0.2793751574
9	0.263261813
10	0.2522000857
11	0.2429668131
12	0.234663763
13	0.2277715654
14	0.2218559801
15	0.215255667
16	0.2112701755
17	0.2081988616
18	0.2052746824
19	0.2025492514
20	0.1998229659
21	0.1973046479
22	0.195425879
23	0.1937083755
24	0.1921112733
25	0.1909116163
26	0.1899072192
27	0.1883401807
28	0.1873522207
29	0.1861059489
30	0.1852628952
31	0.1843914544
32	0.183500587
33	0.1826697644
34	0.1820710356
35	0.1814648217
36	0.1809328148
37	0.1803264473
38	0.1794098364
39	0.1787488761
40	0.1781166185
41	0.1776242096
42	0.1771546743
43	0.1767807944
44	0.1764002353
45	0.1761189859
46	0.1757026996
47	0.1754085217
48	0.1750895712
49	0.1748695731
50	0.1746308874
51	0.1743418081
52	0.1740926213
53	0.173876628
54	0.1736526867
55	0.1734078718
56	0.1732112674
57	0.1730049066
58	0.1729039893
59	0.1726893967
60	0.1724875448
61	0.1722989938
62	0.172119887
63	0.1719902958
64	0.1718122954
65	0.1716669362
66	0.1715772112
67	0.1714662052
68	0.1713283085
69	0.1711524116
70	0.1710447684
71	0.1709273008
72	0.1707811585
73	0.1706639098
74	0.1705964061
75	0.1705040507
76	0.1704199582
77	0.1702974259
78	0.1701961698
79	0.1701049075
80	0.170027903
81	0.1699511353
82	0.1698822606
83	0.1697960328
84	0.1696862334
85	0.1695968692
86	0.1695019272
87	0.1694041504
88	0.1693458314
89	0.1692764019
90	0.1692323817
91	0.1691630493
92	0.1690579189
93	0.1689974408
94	0.1689311923
95	0.1688747768
96	0.1688155562
97	0.1687199959
98	0.1686554777
99	0.168577739
100	0.1685365901
101	0.1684859165
102	0.1684268633
103	0.1683669103
104	0.1682960544
105	0.168245513
106	0.1681898728
107	0.1681383283
108	0.1680879404
109	0.1680341855
110	0.1679702373
111	0.1679046994
112	0.1678531208
113	0.1677706148
114	0.1677291348
115	0.1676839985
116	0.1676321813
117	0.1675881076
118	0.1675435707
119	0.1675097903
120	0.167450366
121	0.1674093068
122	0.1673571401
123	0.1673034324
124	0.1672638793
125	0.1672249683
126	0.1671722619
127	0.1671322586
128	0.1670967753
129	0.1670345944
130	0.1670058222
131	0.1669799665
132	0.1669490945
133	0.1669031065
134	0.1668624903
135	0.166826736
136	0.1667779089
137	0.1667328885
138	0.1666748351
139	0.1666438221
140	0.1665798816
141	0.1665374478
142	0.1664850513
143	0.1664422939
144	0.1664039473
145	0.1663556083
146	0.1663213803
147	0.1662938106
148	0.1662596183
149	0.166216658
150	0.1661828298
151	0.1661465759
152	0.166095973
153	0.1660574616
154	0.1659993626
155	0.165954318
156	0.1659213194
157	0.1658793198
158	0.165837297
159	0.1658099474
160	0.1657806193
161	0.1657445495
162	0.1657027189
163	0.1656510346
164	0.1656063168
165	0.1655556016
166	0.1655157193
167	0.1654865722
168	0.1654388783
169	0.1654026202
170	0.1653662339
171	0.1653420069
172	0.1652936141
173	0.1652695209
174	0.1652366173
175	0.1652015876
176	0.1651705713
177	0.1651231051
178	0.1650871429
179	0.1650464723
180	0.1649617496
181	0.1649185577
182	0.1648960678
183	0.1648609973
184	0.1648233302
185	0.1647775037
186	0.1647332769
187	0.1646999194
188	0.16464833
189	0.1645951818
190	0.1645538593
191	0.1645015855
192	0.1644813694
193	0.1644604287
194	0.1644238494
195	0.1643927972
196	0.1643626372
197	0.1643452253
198	0.1642975445
199	0.1642703003
200	0.1642442856
201	0.1642019674
202	0.1641695393
203	0.1641317347
204	0.1640912932
205	0.1640597652
206	0.1640210564
207	0.1639845791
208	0.1639437506
209	0.1639011545
210	0.1638749834
211	0.163839141
212	0.1638065254
213	0.1637689119
214	0.1637385025
215	0.1637045435
216	0.1636825556
217	0.1636486276
218	0.1636037718
219	0.1635579067
220	0.1635274252
221	0.1634919048
222	0.163452579
223	0.1634039288
224	0.1633675228
225	0.1633189019
226	0.1632884806
227	0.1632478378
228	0.1632094898
229	0.1631787553
230	0.163129108
231	0.1630908475
232	0.1630658691
233	0.1630441106
234	0.1629917321
235	0.1629688485
236	0.1629383696
237	0.1629038904
238	0.1628472089
239	0.1627865764
240	0.1627267018
241	0.16268489
242	0.1626665665
243	0.162624489
244	0.1625736628
245	0.1625303899
246	0.1625112318
247	0.1624998532
248	0.1624704823
249	0.1624545515
250	0.1624189814
251	0.1623693555
252	0.1623244163
253	0.1622932775
254	0.162257251
255	0.1622250816
256	0.1622012847
257	0.1621778862
258	0.1621485935
259	0.1621054725
260	0.1620743481
261	0.1620487763
262	0.162011431
263	0.1619764451
264	0.1619469223
265	0.1619152938
266	0.1618884356
267	0.1618637072
268	0.1618313454
269	0.1618025553
270	0.1617757076
271	0.1617509131
272	0.1617270303
273	0.1616968109
274	0.1616709707
275	0.1616328338
276	0.1615979216
277	0.161565628
278	0.1615271292
279	0.1614780264
280	0.1614504306
281	0.1614256774
282	0.1613808256
283	0.161358714
284	0.1613226188
285	0.1612939479
286	0.1612554191
287	0.1612326959
288	0.1612205678
289	0.1611707408
290	0.1611386878
291	0.1610892462
292	0.1610622072
293	0.1610262636
294	0.1609848047
295	0.1609382009
296	0.1608888314
297	0.1608543814
298	0.1608123902
299	0.1607836931
300	0.1607481302
301	0.1606984971
302	0.1606782704
303	0.1606512156
304	0.1606247048
305	0.1606117257
306	0.1605822883
307	0.1605566702
308	0.1605110608
309	0.1604917614
310	0.1604683331
311	0.1604305477
312	0.1604080631
313	0.1603642375
314	0.1603429527
315	0.1603235408
316	0.1602975214
317	0.1602840087
318	0.1602331187
319	0.1602201463
320	0.1601742307
321	0.1601677288
322	0.1601522725
323	0.1601278926
324	0.1600882363
325	0.160042609
326	0.1600320445
327	0.1600228922
328	0.1599865477
329	0.159953458
330	0.1599276175
331	0.1598979123
332	0.1598617008
333	0.1598434368
334	0.1598286353
335	0.1597918595
336	0.1597623819
337	0.1597266089
338	0.1596914862
339	0.1596486698
340	0.1596142461
341	0.1595827185
342	0.1595556511
343	0.1595263078
344	0.1594918517
345	0.1594680312
346	0.159430783
347	0.1594072122
348	0.1593790964
349	0.1593444697
350	0.1593046672
351	0.1592674629
352	0.1592441627
353	0.1592093121
354	0.1591922358
355	0.159164439
356	0.1591396934
357	0.1591047281
358	0.1590554326
359	0.1590279935
360	0.1589955307
361	0.1589509304
362	0.1589083066
363	0.1588721914
364	0.1588434141
365	0.1588052419
366	0.1587728192
367	0.1587430754
368	0.1587203932
369	0.1586703499
370	0.1586498608
371	0.1586284698
372	0.1586096817
373	0.1585710484
374	0.1585403249
375	0.1585274046
376	0.1584957654
377	0.1584873361
378	0.1584480691
379	0.1584063458
380	0.1583760124
381	0.1583535694
382	0.1583232943
383	0.1582883979
384	0.1582571301
385	0.1582320853
386	0.1582072049
387	0.1581706967
388	0.1581382478
389	0.1581138716
390	0.1580802801
391	0.1580580968
392	0.1580502411
393	0.1580336078
394	0.1579967358
395	0.1579531431
396	0.1579214488
397	0.1578939425
398	0.157868943
399	0.1578312687
400	0.157803211
401	0.157783216
402	0.1577569199
403	0.1577302569
404	0.1577206719
405	0.1576955144
406	0.157657749
407	0.15763477
408	0.1576052848
409	0.157574987
410	0.1575490624
411	0.1575149772
412	0.1574854577
413	0.1574694614
414	0.1574418955
415	0.1574144048
416	0.1573921438
417	0.1573625671
418	0.1573416726
419	0.1573050959
420	0.1572902029
421	0.1572502989
422	0.1572200382
423	0.1571956608
424	0.1571744571
425	0.1571503923
426	0.1571276464
427	0.1571087422
428	0.1570857453
429	0.157054638
430	0.157022762
431	0.1569854168
432	0.1569752178
433	0.1569339122
434	0.1569076226
435	0.1568782795
436	0.1568383031
437	0.1568138103
438	0.1567829113
439	0.1567507913
440	0.1567228145
441	0.1566989736
442	0.1566647837
443	0.1566450169
444	0.1566239121
445	0.1566021771
446	0.1565742831
447	0.1565407779
448	0.1565254465
449	0.1565132644
450	0.1564901213
451	0.1564703741
452	0.1564305902
453	0.156411019
454	0.1563755519
455	0.1563336062
456	0.1563094081
457	0.1562804288
458	0.1562478642
459	0.156221171
460	0.1561916755
461	0.156150453
462	0.1561162096
463	0.1560772961
464	0.1560608974
465	0.1560362054
466	0.1560014977
467	0.1559805242
468	0.1559410551
469	0.1559273759
470	0.1558788817
471	0.1558278663
472	0.1557824596
473	0.1557589549
474	0.1557364381
475	0.1556999231
476	0.1556707739
477	0.1556405921
478	0.1556108622
479	0.1555780636
480	0.1555414526
481	0.1555171661
482	0.155488461
483	0.1554560031
484	0.1554138151
485	0.1553901362
486	0.1553715344
487	0.1553519498
488	0.1553227693
489	0.1552936941
490	0.155276627
491	0.1552522035
492	0.1552120163
493	0.1551875642
494	0.1551627425
495	0.1551276911
496	0.1550957545
497	0.1550805629
498	0.1550625084
499	0.1550322388
