iter	Passed	Remaining
0	204	101813
1	242	60338
2	304	50514
3	343	42604
4	381	37741
5	417	34413
6	451	31791
7	490	30142
8	525	28695
9	561	27531
10	598	26606
11	707	28766
12	745	27935
13	779	27067
14	814	26349
15	849	25686
16	889	25269
17	922	24710
18	958	24277
19	998	23975
20	1037	23662
21	1074	23343
22	1108	22985
23	1145	22717
24	1179	22414
25	1215	22157
26	1249	21894
27	1288	21714
28	1327	21563
29	1363	21364
30	1403	21228
31	1440	21068
32	1479	20931
33	1518	20813
34	1555	20663
35	1595	20569
36	1633	20444
37	1671	20326
38	1713	20249
39	1754	20180
40	1795	20102
41	1834	19999
42	1870	19877
43	1910	19802
44	1951	19735
45	1990	19642
46	2027	19544
47	2065	19448
48	2102	19349
49	2143	19287
50	2181	19209
51	2218	19116
52	2259	19060
53	2300	18998
54	2340	18936
55	2377	18850
56	2416	18782
57	2453	18700
58	2492	18629
59	2532	18571
60	2572	18511
61	2608	18431
62	2647	18362
63	2685	18298
64	2726	18249
65	2766	18192
66	2811	18168
67	2846	18081
68	2882	18008
69	2922	17951
70	2962	17902
71	3002	17846
72	3039	17777
73	3079	17730
74	3119	17676
75	3161	17640
76	3200	17583
77	3241	17536
78	3277	17468
79	3313	17395
80	3351	17337
81	3387	17267
82	3425	17211
83	3461	17143
84	3496	17069
85	3534	17016
86	3568	16940
87	3605	16881
88	3644	16830
89	3683	16780
90	3720	16719
91	3760	16679
92	3801	16635
93	3836	16569
94	3875	16521
95	3913	16471
96	3949	16406
97	3986	16354
98	4023	16296
99	4057	16231
100	4096	16183
101	4133	16130
102	4172	16083
103	4207	16019
104	4245	15969
105	4282	15916
106	4320	15869
107	4356	15812
108	4395	15767
109	4431	15711
110	4469	15662
111	4505	15608
112	4539	15547
113	4578	15501
114	4613	15444
115	4653	15404
116	4692	15362
117	4729	15310
118	4769	15269
119	4807	15222
120	4843	15172
121	4880	15122
122	4921	15084
123	4960	15040
124	4993	14981
125	5025	14918
126	5057	14854
127	5089	14792
128	5121	14730
129	5155	14673
130	5189	14617
131	5222	14558
132	5255	14501
133	5286	14439
134	5320	14384
135	5407	14473
136	5458	14462
137	5498	14422
138	5533	14371
139	5567	14316
140	5619	14308
141	5656	14260
142	5692	14211
143	5731	14169
144	5771	14129
145	5810	14088
146	5845	14037
147	5882	13990
148	5920	13946
149	5957	13900
150	5995	13857
151	6033	13812
152	6068	13763
153	6105	13716
154	6140	13667
155	6178	13625
156	6212	13572
157	6246	13519
158	6283	13475
159	6320	13430
160	6360	13393
161	6395	13343
162	6433	13300
163	6469	13254
164	6503	13204
165	6540	13160
166	6578	13117
167	6612	13068
168	6647	13020
169	6684	12975
170	6722	12934
171	6759	12889
172	6798	12850
173	6837	12810
174	6873	12764
175	6909	12719
176	6947	12678
177	6985	12636
178	7023	12595
179	7060	12551
180	7097	12508
181	7132	12461
182	7171	12422
183	7207	12377
184	7240	12327
185	7275	12281
186	7310	12235
187	7343	12187
188	7381	12146
189	7416	12100
190	7450	12053
191	7486	12008
192	7522	11965
193	7558	11921
194	7595	11880
195	7630	11834
196	7668	11794
197	7704	11751
198	7741	11710
199	7775	11662
200	7810	11618
201	7846	11576
202	7880	11529
203	7915	11484
204	7951	11442
205	7987	11399
206	8022	11355
207	8059	11314
208	8093	11268
209	8126	11222
210	8162	11179
211	8197	11136
212	8233	11094
213	8267	11049
214	8301	11004
215	8336	10960
216	8374	10921
217	8411	10881
218	8448	10839
219	8482	10795
220	8516	10752
221	8551	10708
222	8589	10669
223	8625	10627
224	8663	10589
225	8699	10547
226	8736	10507
227	8775	10468
228	8811	10427
229	8848	10387
230	8885	10347
231	8922	10306
232	8960	10268
233	8995	10225
234	9031	10184
235	9067	10143
236	9104	10103
237	9143	10065
238	9178	10023
239	9213	9981
240	9251	9942
241	9288	9903
242	9325	9863
243	9363	9824
244	9403	9787
245	9440	9747
246	9480	9710
247	9519	9672
248	9552	9629
249	9587	9587
250	9627	9550
251	9660	9507
252	9695	9465
253	9733	9427
254	9769	9386
255	9806	9346
256	9845	9308
257	9881	9268
258	9914	9225
259	9947	9182
260	9982	9140
261	10018	9101
262	10053	9059
263	10089	9018
264	10124	8978
265	10159	8937
266	10197	8898
267	10232	8858
268	10265	8815
269	10301	8775
270	10339	8737
271	10374	8696
272	10412	8658
273	10451	8620
274	10486	8580
275	10522	8540
276	10560	8501
277	10596	8462
278	10634	8423
279	10673	8385
280	10711	8348
281	10747	8308
282	10787	8272
283	10826	8233
284	10862	8194
285	10898	8154
286	10937	8117
287	10974	8078
288	11011	8039
289	11051	8002
290	11088	7963
291	11126	7925
292	11161	7885
293	11200	7847
294	11235	7807
295	11274	7770
296	11311	7731
297	11349	7693
298	11389	7656
299	11426	7617
300	11463	7579
301	11500	7540
302	11538	7502
303	11575	7463
304	11614	7425
305	11652	7387
306	11689	7348
307	11724	7308
308	11763	7271
309	11798	7231
310	11833	7191
311	11870	7152
312	11909	7114
313	11946	7076
314	11982	7037
315	12020	6999
316	12058	6961
317	12096	6923
318	12136	6886
319	12170	6845
