cat_transition,from_category,to_category,customers,avg_12m_value,avg_margin_12m,high_value_rate,repeat_rate,median_gap_days,transition_value_pool,commercial_play
NOT SPECIFIED -> MAKE UP,Not Specified,Make Up,69,1152.351739130435,961.7171014492753,0.7681159420289855,1.0,9.0,79512.27,"When customers start in Not Specified, push Make Up before day 60 with a routine-led cross-sell."
NOT SPECIFIED -> SKINCARE,Not Specified,Skincare,123,891.0796,731.75136,0.744,1.0,10.0,109602.7908,"When customers start in Not Specified, push Skincare before day 60 with a routine-led cross-sell."
NOT SPECIFIED -> MAEK UP,Not Specified,Make Up,111,1083.962857142857,900.709375,0.7410714285714286,1.0,8.0,120319.87714285713,"When customers start in Not Specified, push Make Up before day 60 with a routine-led cross-sell."
NOT SPECIFIED -> FRAGRANCE,Not Specified,Fragrance,77,1159.0162500000001,944.232625,0.7375,1.0,8.0,89244.25125000002,"When customers start in Not Specified, push Fragrance before day 60 with a routine-led cross-sell."
MAKE UP -> NOT SPECIFIED,Make Up,Not Specified,91,922.6573118279571,780.4244086021506,0.7204301075268817,1.0,12.0,83961.8153763441,"When customers start in Make Up, push Not Specified before day 60 with a routine-led cross-sell."
MAEK UP -> NOT SPECIFIED,Make Up,Not Specified,197,912.6016666666667,758.1348989898989,0.6464646464646465,1.0,12.0,179782.52833333335,"When customers start in Make Up, push Not Specified before day 60 with a routine-led cross-sell."
SKINCARE -> NOT SPECIFIED,Skincare,Not Specified,169,863.4731952662722,721.2694082840237,0.6331360946745562,1.0,8.0,145926.97,"When customers start in Skincare, push Not Specified before day 60 with a routine-led cross-sell."
FRAGRANCE -> HAIRCARE,Fragrance,Haircare,890,874.7349894067796,720.788283898305,0.6271186440677966,1.0,24.5,778514.1405720338,"When customers start in Fragrance, push Haircare before day 60 with a routine-led cross-sell."
HAIRCARE -> FRAGRANCE,Haircare,Fragrance,916,869.7098263534219,718.7180592441266,0.6210418794688458,1.0,26.0,796654.2009397345,"When customers start in Haircare, push Fragrance before day 60 with a routine-led cross-sell."
FRAGRANCE -> NOT SPECIFIED,Fragrance,Not Specified,149,853.7883552631579,692.9761842105263,0.6052631578947368,1.0,10.0,127214.46493421053,"When customers start in Fragrance, push Not Specified before day 60 with a routine-led cross-sell."
HAIRCARE -> MAKE UP,Haircare,Make Up,841,864.3099340659342,730.6902197802198,0.5956043956043956,1.0,21.0,726884.6545494506,"When customers start in Haircare, push Make Up before day 60 with a routine-led cross-sell."
MAEK UP -> HAIRCARE,Make Up,Haircare,1696,823.5164343845372,694.062517802645,0.5925737538148524,1.0,25.0,1396683.8727161752,"When customers start in Make Up, push Haircare before day 60 with a routine-led cross-sell."
HAIRCARE -> SKINCARE,Haircare,Skincare,1303,815.0806149732621,681.8236564171123,0.5909090909090909,1.0,25.0,1062050.0413101604,"When customers start in Haircare, push Skincare before day 60 with a routine-led cross-sell."
