source,target,frequency
purchase_store,silver_reached,39403
purchase_store,purchase_store,36432
purchase_store,reactivated,35258
inactivity_60d,purchase_store,19886
first_purchase,first_purchase_maek_up,19409
first_purchase,first_purchase_fragrance,17593
reactivated,second_purchase_late,17187
bronze_reached,first_purchase,15990
first_purchase,first_purchase_skincare,14146
purchase_store,inactivity_60d,13873
first_purchase_maek_up,purchase_store,11450
purchase_store,second_purchase_under_30d,11242
silver_reached,inactivity_60d,11233
moved_to_rfm_2,purchase_store,10593
high_basket_event,purchase_store,9836
moved_to_rfm_3,purchase_store,9604
first_purchase_fragrance,purchase_store,9494
first_purchase,first_purchase_make_up,9185
first_purchase_skincare,purchase_store,8511
category_expansion,purchase_store,8442
silver_reached,purchase_store,5880
reactivated,purchase_store,5861
first_purchase_make_up,purchase_store,5532
omnichannel_adoption,purchase_estore,5312
purchase_estore,silver_reached,5112
purchase_store,second_purchase_under_60d,5002
moved_to_rfm_1,purchase_store,4551
purchase_estore,reactivated,4539
second_purchase_late,inactivity_60d,4115
inactivity_60d,category_expansion,4107
high_discount_purchase,purchase_store,3990
inactivity_60d,bronze_reached,3795
reactivated,inactivity_60d,3671
bronze_reached,purchase_store,3413
purchase_estore,purchase_store,3400
inactivity_60d,moved_to_rfm_3,3350
purchase_store,high_basket_event,3294
purchase_estore,purchase_estore,3215
second_purchase_under_30d,inactivity_60d,3135
first_purchase_fragrance,high_basket_event,2967
omnichannel_adoption,purchase_store,2748
purchase_store,category_expansion,2703
first_purchase,first_purchase_haircare,2397
inactivity_60d,high_basket_event,2392
second_purchase_under_30d,purchase_store,2323
second_purchase_late,purchase_store,2308
first_purchase_maek_up,moved_to_rfm_3,2023
first_purchase_maek_up,moved_to_rfm_2,2006
inactivity_60d,moved_to_rfm_2,1955
purchase_store,purchase_estore,1941
second_purchase_under_60d,inactivity_60d,1941
inactivity_60d,omnichannel_adoption,1837
second_purchase_under_30d,silver_reached,1828
high_basket_event,purchase_estore,1778
first_purchase,first_purchase_others,1717
purchase_estore,inactivity_60d,1673
purchase_estore,second_purchase_under_30d,1461
high_basket_event,moved_to_rfm_1,1437
inactivity_60d,purchase_estore,1362
first_purchase_fragrance,purchase_estore,1360
first_purchase_others,purchase_store,1321
second_purchase_under_30d,category_expansion,1297
purchase_store,high_discount_purchase,1289
first_purchase_skincare,moved_to_rfm_3,1260
first_purchase_fragrance,high_discount_dependency,1252
reactivated,category_expansion,1236
moved_to_rfm_2,purchase_estore,1231
first_purchase_haircare,purchase_store,1227
silver_reached,bronze_reached,1213
first_purchase_fragrance,moved_to_rfm_2,1205
first_purchase_maek_up,high_basket_event,1193
high_discount_dependency,high_discount_purchase,1189
first_purchase_skincare,moved_to_rfm_2,1185
second_purchase_late,category_expansion,1154
high_discount_purchase,purchase_estore,1139
second_purchase_under_60d,purchase_store,1129
first_purchase_maek_up,purchase_estore,1112
purchase_store,omnichannel_adoption,1051
bronze_reached,category_expansion,1036
category_expansion,high_basket_event,1010
first_purchase_make_up,moved_to_rfm_3,1002
first_purchase_skincare,purchase_estore,1002
high_basket_event,moved_to_rfm_2,986
reactivated,silver_reached,963
bronze_reached,moved_to_rfm_2,960
