customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
6.70252e+18,Potential Loyalist,Skincare,Store,100.0,974.4200000000001,1677.92,9,Channel aligned
-2.00232e+18,Recent,Mixed Basket (Haircare + 5 others),Store,100.0,683.6,1154.2,156,Channel aligned
-8.71759e+18,Potential Loyalist,Make Up,Store,100.0,681.09,1216.91,27,Category and channel aligned
2.93959e+18,About to Sleep,Others,Store,100.0,539.9,1039.9,8,Channel aligned
2.28964e+17,Potential Loyalist,Fragrance,Store,100.0,538.03,881.0799999999999,11,Channel aligned
5.22051e+18,About to Sleep,Others,Store,100.0,495.99,975.99,7,Channel aligned
-2.91755e+18,Potential Loyalist,Mixed Basket (Skincare + 1 others),Store,100.0,422.69,703.99,13,Channel aligned
4.74895e+18,Need Attention,Others,Store,100.0,411.0,711.0,31,Channel aligned
-5.68038e+18,At Risk,Others,Store,100.0,334.0,584.0,20,Channel aligned
-2.4898e+18,Need Attention,Make Up,Store,100.0,324.9,564.9,10,Category and channel aligned
-4.32189e+18,About to Sleep,Others,Store,100.0,320.0,595.0,2,Channel aligned
-8.68723e+18,About to Sleep,Others,Store,100.0,302.99,592.99,33,Channel aligned
-7.66606e+17,Need Attention,Mixed Basket (Skincare + 4 others),Store,100.0,285.94,480.95,16,Channel aligned
3.96314e+18,Potential Loyalist,Make Up,Store,100.0,277.98,527.98,258,Category and channel aligned
7.4069e+18,About to Sleep,Make Up,Store,100.0,270.96,485.96,12,Category and channel aligned
-7.80175e+18,Need Attention,Make Up,Store,100.0,260.0,460.0,5,Category and channel aligned
3.64035e+18,Can't Lose,Make Up,Store,100.0,246.89,446.89,81,Category and channel aligned
-3.10907e+18,About to Sleep,Mixed Basket (Make Up + 3 others),Estore,100.0,242.98,442.98,29,New pattern to test
6.80313e+16,About to Sleep,Others,Store,100.0,238.99,423.99,2,Channel aligned
-3.63628e+18,About to Sleep,Skincare,Store,100.0,232.96,432.96000000000004,8,Channel aligned
-6.04396e+18,About to Sleep,Mixed Basket (Haircare + 1 others),Store,100.0,219.99,379.99,5,Channel aligned
2.44798e+18,About to Sleep,Others,Store,100.0,219.99,389.99,17,Channel aligned
-7.01438e+18,About to Sleep,Others,Store,100.0,219.0,419.0,14,Channel aligned
-1.94294e+18,About to Sleep,Others,Store,100.0,216.33,424.68,11,Channel aligned
