anonymized_card_code,total_revenue,total_discount,total_items,n_tickets,first_date,last_date,avg_basket,median_basket,max_basket,n_unique_categories,n_unique_brands,n_unique_channels,n_unique_markets,n_unique_cities,tenure_days,avg_inter_purchase_days,repeat_customer,discount_ratio,is_omnichannel,Axe_Desc_first_purchase,Market_Desc_first_purchase,brand_first_purchase,channel_recruitment,salesVatEUR_first_purchase,discountEUR_first_purchase,quantity_first_purchase,first_purchase_dt,countryIsoCode,age_category,age_generation,gender,customer_city,status,RFM_Segment_ID,loyalty_label,rfm_label,second_date,days_to_second,revenue_90d,revenue_365d,discount_365d,high_value,category_path,channel_path,brand_path,value_12m_proxy,margin_12m_proxy,first_purchase_discounted,customer_id,first_category_display,first_channel_display,first_brand_display,country_display,city_display,age_display,gender_display,value_band,days_since_last,risk_band,phase_proxy,winning_path_score,wp_tier,archetype,is_anomaly,high_value_anomaly
6.62708e+18,2893.9,0.0,20,1,2025-08-04,2025-08-04,2893.9,2893.9,2893.9,4,7,1,2,1,0,,0,0.0,0,MAEK UP|FRAGRANCE|MAKE UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|FRAGRANCE|MAEK UP|MAKE UP|SKINCARE|FRAGRANCE|SKINCARE|MAEK UP,EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SELECTIVE|EXCLUSIVE,TARTE|GUERLAIN|RARE BEAUTY|LANEIGE|GUERLAIN|GUERLAIN|GUERLAIN|GUERLAIN|GUERLAIN|GUERLAIN|HERMES|HUDA BEAUTY|FENTY|GUERLAIN|GUERLAIN|GUERLAIN|HUDA BEAUTY,store,2893.9,0.0,20.0,2025-08-04 17:25:00,FR,,,1,SA,2,8,Silver,At Risk,,,2893.9,2893.9,0.0,0,SKINCARE,Store,GUERLAIN,2893.9,2893.9,0,6.62708e+18,Mixed Basket (Make Up + 16 others),Store,Mixed Basket (Tarte + 16 others),FR,Sa,Unknown,1,Premium,149,At Risk,Onboarding,62.7,Strong,One-and-Done,1,0
-8.30216e+18,1747.0,62.0,6,1,2025-11-05,2025-11-05,1747.0,1747.0,1747.0,1,2,1,1,1,0,,0,0.03427307904919845,0,FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,TOM FORD|TOM FORD|MAISON FRANCIS KURKDJIAN|MAISON FRANCIS KURKDJIAN,store,1747.0,62.0,6.0,2025-11-05 14:18:00,FR,,,1,MARQUETTE LEZ LILLE,4,8,No Loyalty,At Risk,,,1747.0,1747.0,62.0,0,FRAGRANCE,Store,MAISON FRANCIS KURKDJIAN,1747.0,1685.0,1,-8.30216e+18,Mixed Basket (Fragrance + 3 others),Store,Mixed Basket (Tom Ford + 3 others),FR,Marquette Lez Lille,Unknown,1,Premium,56,Cooling,Onboarding,50.2,Strong,One-and-Done,1,0
7.28471e+18,1732.4499999999998,756.5500000000001,25,6,2025-11-27,2025-11-28,288.7416666666666,203.35,634.75,4,7,1,2,1,1,0.2,1,0.30395741261550824,0,OTHERS|MAEK UP|FRAGRANCE|MAEK UP|FRAGRANCE|MAEK UP,OTHERS|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,SEPHORA SERVICE|DIOR|CHANEL|DIOR|CHANEL|DIOR,store,520.9,227.1,9.0,2025-11-27 15:52:00,FR,26-35yo,genz,2,VITRY SUR SEINE,4,8,No Loyalty,At Risk,2025-11-28,1.0,1732.4499999999998,1732.4499999999998,756.5500000000001,1,FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,DIOR -> SEPHORA SERVICE -> CHANEL -> CHANEL -> CHANEL,1732.4499999999998,975.8999999999997,1,7.28471e+18,Mixed Basket (Others + 5 others),Store,Mixed Basket (Sephora Service + 5 others),FR,Vitry Sur Seine,26-35yo,2,Premium,33,Cooling,Promo Dependence,74.6,Strong,One-and-Done,1,1
8.90987e+18,1588.9,6.9,36,7,2025-10-21,2025-10-29,226.9857142857143,334.99,640.97,6,11,1,3,2,8,1.3333333333333333,1,0.00432385010652964,0,MAKE UP|MAKE UP|SKINCARE|HAIRCARE|HAIRCARE|MAEK UP|MAKE UP|FRAGRANCE|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP,EXCLUSIVE|SEPHORA|SEPHORA|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|EXCLUSIVE|SEPHORA|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE,REM BEAUTY|SEPHORA|SEPHORA|INVISIBOBBLE|INVISIBOBBLE|HOURGLASS|YVES ST LAURENT|DIOR|REM BEAUTY|SEPHORA|HUDA BEAUTY|REM BEAUTY|REM BEAUTY|REM BEAUTY,store,640.97,0.0,18.0,2025-10-21 12:42:00,FR,46-60yo,,2,DOHA,4,8,No Loyalty,At Risk,2025-10-22,1.0,1588.9,1588.9,6.9,1,MAEK UP -> HAIRCARE -> MAEK UP -> SKINCARE -> SKINCARE,Store -> Store -> Store -> Store -> Store,REM BEAUTY -> SEPHORA -> SEPHORA -> DIOR -> DIOR,1588.9,1582.0,0,8.90987e+18,Mixed Basket (Make Up + 13 others),Store,Mixed Basket (Rem Beauty + 13 others),FR,Doha,46-60yo,2,Premium,63,Drifting,Acceleration,79.0,Elite,Premium Loyalists,1,1
-5.08597e+18,1496.0,0.0,11,1,2025-12-13,2025-12-13,1496.0,1496.0,1496.0,3,7,1,2,1,0,,0,0.0,0,FRAGRANCE|SKINCARE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|MAEK UP|FRAGRANCE|SKINCARE|FRAGRANCE,SELECTIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|SELECTIVE,JO MALONE|CHARLOTTE TILBURY|ARMANI|DIOR|TOM FORD|TOM FORD|CHARLOTTE TILBURY|CHANEL|PAULA'S CHOICE|TOM FORD,store,1496.0,0.0,11.0,2025-12-13 16:26:00,FR,,,1,CCC,4,8,No Loyalty,At Risk,,,1496.0,1496.0,0.0,0,FRAGRANCE,Store,TOM FORD,1496.0,1496.0,0,-5.08597e+18,Mixed Basket (Fragrance + 9 others),Store,Mixed Basket (Jo Malone + 9 others),FR,Ccc,Unknown,1,Premium,18,Active,Onboarding,52.0,Strong,One-and-Done,1,0
-5.96901e+18,1475.0,5.0,9,1,2025-10-26,2025-10-26,1475.0,1475.0,1475.0,1,5,1,1,1,0,,0,0.0033783783783783786,0,FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,CAROLINA HERRERA|GUCCI|GUCCI|PRADA|RABANNE|GIVENCHY,store,1475.0,5.0,9.0,2025-10-26 17:05:00,FR,46-60yo,,1,VVV,4,8,No Loyalty,At Risk,,,1475.0,1475.0,5.0,0,FRAGRANCE,Store,GUCCI,1475.0,1470.0,1,-5.96901e+18,Mixed Basket (Fragrance + 5 others),Store,Mixed Basket (Carolina Herrera + 5 others),FR,Vvv,46-60yo,1,Premium,66,Drifting,Onboarding,50.5,Strong,One-and-Done,1,0
-4.00761e+18,1455.44,63.83,31,2,2025-07-15,2025-07-16,727.72,727.72,1122.54,5,18,1,3,1,1,1.0,1,0.042013598636187116,0,MAEK UP|MAEK UP|HAIRCARE|SKINCARE|MAKE UP|HAIRCARE|SKINCARE|FRAGRANCE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|MAKE UP|SKINCARE|SKINCARE|MAEK UP|MAEK UP|SKINCARE|SKINCARE|SKINCARE,SELECTIVE|SELECTIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SEPHORA|SELECTIVE|SELECTIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SEPHORA|SELECTIVE|SELECTIVE,LANCOME|CLINIQUE|TANGLE TEEZER|LANCOME|MAKEUP BY MARIO|K18 BIOMIMETIC HAIRSCIENCE|DR DENNIS GROSS|SOL DE JANEIRO|SEPHORA|LANCOME|LANCOME|LANCOME|KIEHLS|ILIA|SUMMER FRIDAYS|HI SMILE|CHANEL|LANCOME|SEPHORA|LANCOME|LANCOME,store,1122.54,63.83,22.0,2025-07-15 19:46:00,FR,m60yo,babyboomers,2,COSTA RICA,2,8,Silver,At Risk,2025-07-16,1.0,1455.44,1455.44,63.83,1,SKINCARE -> MAEK UP,Store -> Store,LANCOME -> LANCOME,1455.44,1391.6100000000001,1,-4.00761e+18,Mixed Basket (Make Up + 20 others),Store,Mixed Basket (Lancome + 20 others),FR,Costa Rica,m60yo,2,Premium,168,At Risk,Erosion,87.8,Elite,One-and-Done,1,1
-2.82163e+17,1397.32,11.07,28,1,2025-07-16,2025-07-16,1397.32,1397.32,1397.32,4,2,1,2,1,0,,0,0.007860038767670887,0,MAKE UP|MAKE UP|MAKE UP|FRAGRANCE|FRAGRANCE|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|SKINCARE|MAKE UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP,EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SEPHORA|EXCLUSIVE,CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|CHARLOTTE TILBURY|SEPHORA|CHARLOTTE TILBURY,store,1397.32,11.07,28.0,2025-07-16 13:47:00,FR,26-35yo,genz,2,TOURCOING CEDEX,2,8,Silver,At Risk,,,1397.32,1397.32,11.07,0,MAEK UP,Store,CHARLOTTE TILBURY,1397.32,1386.25,1,-2.82163e+17,Mixed Basket (Make Up + 23 others),Store,Mixed Basket (Charlotte Tilbury + 23 others),FR,Tourcoing Cedex,26-35yo,2,Premium,168,At Risk,Onboarding,62.5,Strong,One-and-Done,1,0
-8.63236e+18,1366.45,554.55,13,1,2025-08-23,2025-08-23,1366.45,1366.45,1366.45,1,2,1,1,1,0,,0,0.2886777719937532,0,FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE,HERMES|REMINISCENCE|REMINISCENCE,store,1366.45,554.55,13.0,2025-08-23 22:03:00,FR,m60yo,babyboomers,2,XXXXX,2,8,Silver,At Risk,,,1366.45,1366.45,554.55,0,FRAGRANCE,Store,REMINISCENCE,1366.45,811.9000000000001,1,-8.63236e+18,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Hermes + 2 others),FR,Xxxxx,m60yo,2,Premium,130,At Risk,Onboarding,57.5,Strong,One-and-Done,1,0
-5.93282e+18,1360.47,0.0,15,2,2025-07-24,2025-07-24,680.235,680.235,1259.0,4,8,1,3,1,0,0.0,1,0.0,0,SKINCARE|MAEK UP|MAKE UP|MAKE UP|MAEK UP,EXCLUSIVE|SEPHORA|SEPHORA|SEPHORA|EXCLUSIVE,ERBORIAN|SEPHORA|SEPHORA|SEPHORA|TARTE,store,101.47,0.0,5.0,2025-07-24 17:57:00,FR,,,1,DIJON,2,8,Silver,At Risk,2025-07-24,0.0,1360.47,1360.47,0.0,1,FRAGRANCE -> MAEK UP,Store -> Store,LANCOME -> SEPHORA,1360.47,1360.47,0,-5.93282e+18,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Erborian + 4 others),FR,Dijon,Unknown,1,Premium,160,At Risk,Erosion,87.5,Elite,Premium Loyalists,1,1
