Axe_Desc_first_purchase,channel_recruitment,first_purchase_discounted,customers,avg_first_basket,avg_90d_value,avg_12m_value,avg_margin_12m,repeat_rate,high_value_rate,omnichannel_rate,median_days_to_second,discount_label,first_category_display,channel_display,cohort_label,estimated_value_pool,decision,commercial_play,why_it_matters,owner,kpi
,,0,40418,,112.5009052897224,227.60575238755013,196.3718756494631,0.6344697906873176,0.14043248057796032,0.1522588945519323,59.0,Full Price,Unknown,Unknown,Unknown / Unknown / Full Price,9199369.3,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
FRAGRANCE,store,1,2410,87.16439004149377,105.0145020746888,136.82940663900413,104.45715352697096,0.3219917012448133,0.04024896265560166,0.03443983402489627,57.5,Discounted,Fragrance,Store,Fragrance / Store / Discounted,329758.86999999994,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
FRAGRANCE,store,0,1777,93.98685987619584,112.93158131682611,148.12408553742262,132.4693809791784,0.34608891389983115,0.04614518851997749,0.04445694991558807,54.0,Full Price,Fragrance,Store,Fragrance / Store / Full Price,263216.5,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
MAEK UP,store,0,1733,24.704293133294865,63.409463358338144,111.71943450663589,101.95450663589152,0.4552798615118292,0.05308713214079631,0.06693594922100404,52.0,Full Price,Make Up,Store,Make Up / Store / Full Price,193609.78,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE,store,0,1821,22.63509060955519,61.84461285008237,99.2584404173531,91.3272872048325,0.4700713893465129,0.040087863811092805,0.06974190005491489,56.0,Full Price,Skincare,Store,Skincare / Store / Full Price,180749.62,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP,store,0,1266,24.186255924170617,65.95192733017377,110.37299368088468,102.35616903633492,0.4826224328593997,0.05134281200631911,0.06714060031595577,56.0,Full Price,Make Up,Store,Make Up / Store / Full Price,139732.21,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE,estore,1,857,88.36052508751459,101.16826137689614,130.88144690781797,97.4653325554259,0.30688448074679114,0.03267211201866978,0.14002333722287047,56.0,Discounted,Fragrance,Estore,Fragrance / Estore / Discounted,112165.40000000001,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|SKINCARE,store,0,676,35.315473372781064,71.25718934911242,113.9835650887574,105.74230769230769,0.4718934911242604,0.04437869822485207,0.06360946745562131,49.0,Full Price,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Full Price,77052.89,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|FRAGRANCE,store,1,316,177.1962658227848,192.3525,234.842246835443,177.77455696202531,0.3322784810126582,0.08544303797468354,0.03164556962025317,51.0,Discounted,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Discounted,74210.15,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
MAEK UP|MAEK UP,store,0,459,45.81856209150327,71.29877995642701,124.77675381263616,114.00161220043573,0.42919389978213507,0.04357298474945534,0.05664488017429194,62.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,57272.53,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
